,Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight
2,13950,24.0,41711.0,Diesel,90.0,,0,2000,3,1165
6,16900,27.0,,Diesel,,,0,2000,3,1245
7,18600,30.0,75889.0,,90.0,1.0,0,2000,3,1245
9,12950,23.0,71138.0,Diesel,,,0,1900,3,1105
15,22000,28.0,18739.0,Petrol,,0.0,0,1800,3,1185
21,16950,29.0,43905.0,,110.0,0.0,1,1600,3,1170
26,17495,27.0,34545.0,,110.0,1.0,0,1600,3,1120
29,17950,30.0,11090.0,,110.0,,0,1600,3,1120
33,14950,,32692.0,Petrol,97.0,1.0,0,1400,3,1100
43,16950,27.0,110404.0,Diesel,90.0,,0,2000,5,1255
44,16950,22.0,100250.0,,90.0,0.0,0,2000,5,1255
45,19000,23.0,84000.0,Diesel,90.0,,0,2000,5,1270
49,21950,31.0,64982.0,Petrol,192.0,,0,1800,5,1195
55,13250,,45725.0,Petrol,110.0,1.0,0,1600,5,1075
60,14950,22.0,37400.0,,97.0,1.0,0,1400,5,1110
61,16500,27.0,37177.0,Petrol,110.0,,0,1600,5,1130
64,17950,27.0,,Petrol,97.0,1.0,0,1400,5,1110
69,15950,25.0,29719.0,Petrol,97.0,,0,1400,5,1110
83,17950,,16238.0,Petrol,110.0,1.0,1,1600,5,1180
86,14900,30.0,7000.0,,97.0,1.0,0,1400,5,1100
90,16450,20.0,48110.0,Petrol,97.0,,0,1400,3,1100
91,22250,20.0,,Diesel,90.0,1.0,0,2000,3,1260
92,19950,,34472.0,Diesel,90.0,1.0,0,1995,3,1260
98,18750,11.0,24500.0,Petrol,110.0,,0,1600,3,1120
105,16950,,13748.0,Petrol,97.0,1.0,0,1400,3,1100
107,17450,17.0,10000.0,,97.0,1.0,0,1400,3,1100
109,32500,,1.0,,116.0,0.0,0,2000,5,1480
112,24950,8.0,,Diesel,116.0,1.0,0,2000,5,1320
116,21950,8.0,10841.0,,90.0,1.0,0,2000,5,1270
117,17900,,1.0,Petrol,110.0,1.0,0,1600,3,1105
119,22250,,57313.0,,110.0,1.0,0,2000,5,1275
121,19950,19.0,51099.0,,90.0,1.0,0,2000,5,1255
124,16950,17.0,36012.0,,110.0,0.0,0,1600,5,1130
125,21750,16.0,,Petrol,110.0,1.0,0,1600,5,1130
131,15950,20.0,,Petrol,97.0,1.0,0,1400,5,1110
144,18950,15.0,20270.0,Petrol,110.0,,0,1600,5,1130
155,16868,15.0,13157.0,,97.0,1.0,0,1400,4,1085
156,19500,16.0,13000.0,,110.0,1.0,0,1600,4,1105
160,18950,16.0,11000.0,,110.0,,0,1600,4,1105
163,19500,14.0,6500.0,,110.0,,0,1600,4,1100
183,21500,,15.0,Petrol,110.0,1.0,0,1600,5,1130
199,11950,,98823.0,CNG,110.0,1.0,0,1600,5,1119
200,11495,44.0,96829.0,Petrol,110.0,,0,1600,5,1075
207,10950,43.0,85017.0,,97.0,0.0,0,1400,5,1060
213,11450,40.0,78425.0,Petrol,110.0,,0,1600,5,1075
218,10950,44.0,74846.0,Petrol,97.0,,0,1400,3,1025
220,11950,,74285.0,Petrol,110.0,1.0,0,1600,5,1075
223,14950,44.0,71793.0,CNG,110.0,,0,1600,4,1067
226,11950,,65988.0,Petrol,110.0,,0,1600,3,1040
227,11690,,65345.0,Petrol,97.0,1.0,0,1400,5,1060
230,11925,,63451.0,Petrol,97.0,0.0,0,1400,3,1025
235,11650,38.0,60829.0,Petrol,110.0,,0,1600,5,1075
237,13950,35.0,59500.0,Diesel,69.0,,0,1900,3,1110
242,11950,43.0,58277.0,Petrol,110.0,,0,1600,3,1045
246,11950,42.0,55968.0,Petrol,110.0,,0,1600,3,1050
247,12900,,55678.0,Petrol,110.0,1.0,0,1600,4,1030
261,12495,39.0,50873.0,Petrol,110.0,,0,1600,5,1075
270,13500,33.0,48928.0,Diesel,69.0,,0,1900,3,1105
272,13500,35.0,48052.0,Diesel,69.0,,0,1900,3,1105
273,13450,,48011.0,Petrol,110.0,1.0,0,1600,4,1030
286,11700,40.0,44830.0,Petrol,110.0,,0,1600,5,1075
287,9950,37.0,44757.0,Petrol,97.0,,0,1400,3,1025
301,12500,41.0,39659.0,Petrol,110.0,,0,1600,3,1045
303,11500,39.0,39524.0,Petrol,97.0,,0,1398,3,1025
308,11450,37.0,38812.0,Petrol,97.0,,0,1400,3,1025
311,13995,44.0,38461.0,Petrol,110.0,,0,1600,5,1080
321,10750,36.0,36269.0,,110.0,1.0,0,1600,5,1075
328,12950,35.0,33258.0,Petrol,110.0,,0,1600,5,1075
329,11695,43.0,33113.0,,110.0,1.0,0,1600,5,1075
